Link/DOI,Publication Date,Title,Authors,Abstract
https://doi.org/10.1101/2023.08.15.553374,2023-12-18,an in-silico approach to identify bioactive phytochemicals from houttuynia cordata thunb. as potential inhibitors of human glutathione reductase,"['Sangeet, S.; Khan, A.']","cellular infections underpin the pathogenesis of cancer and malaria. mitigating cellular oxidative stress via glutathione reductase (gr) inhibition emerges as a promising therapeutic avenue. exploiting the antioxidant-rich houttuynia cordata thunb., we investigated natural gr inhibitors. among 13 docked phytochemicals, quercetin, quercitrin, and sesamin exhibited exceptional gr binding affinities. molecular docking analysis highlighted their propensity to precisely target the gr active site. subsequent 150 ns molecular dynamics simulations corroborated their robust interactions, unveiling dynamic stabilizing effects on the protein structure and bolstering their antioxidant potential. furthermore, adme-tox profiling affirmed their favourable drug-like attributes. these findings underscore h. cordatas reservoir of potent antioxidants, poised to combat various maladies, including malaria and cancer. this study distinctly accentuates the distinctive outcomes and paramount significance of harnessing h. cordata phytochemicals as efficacious antioxidants, unravelling novel therapeutic avenues."
https://doi.org/10.1101/2022.10.06.510405,2023-12-19,"high resolution mapping of the breast cancer tumor microenvironment using integrated single cell, spatial and in situ analysis of ffpe tissue","['Janesick, A.; Shelansky, R.; Gottscho, A.; Wagner, F.; Rouault, M.; Beliakoff, G.; Faria de Oliveira, M.; Kohlway, A.; Abousoud, J.; Morrison, C.; Drennon, T. Y.; Mohabbat, S.; Williams, S.; 10x Development Teams,  ; Taylor, S.']","single cell and spatial technologies that profile gene expression across a whole tissue are revolutionizing the resolution of molecular states in clinical tissue samples. commercially available methods that characterize either single cell or spatial gene expression are currently limited by low sample throughput and/or gene plexy, lack of on-instrument analysis, and the destruction of histological features and epitopes during the workflow. here, we analyzed large, serial formalin-fixed, paraffin-embedded (ffpe) human breast cancer sections using a novel ffpe-compatible single cell gene expression workflow (chromium fixed rna profiling; scffpe-seq), spatial transcriptomics (visium cytassist), and automated microscopy-based in situ technology using a 313-plex gene panel (xenium in situ). whole transcriptome profiling of the ffpe tissue using scffpe-seq and visium facilitated the identification of 17 different cell types. xenium allowed us to spatially resolve these cell types and their gene expression profiles with single cell resolution. due to the non-destructive nature of the xenium workflow, we were able to perform h&e staining and immunofluorescence on the same section post-processing which allowed us to spatially register protein, histological, and rna data together into a single image. integration of data from chromium scffpe-seq, visium, and xenium across serial sections allowed us to do extensive benchmarking of sensitivity and specificity between the technologies. furthermore, data integration inspired the interrogation of three molecularly distinct tumor subtypes (low-grade and high-grade ductal carcinoma in situ (dcis), and invasive carcinoma). we used xenium to characterize cellular composition and differentially expressed genes within these subtypes. this analysis allowed us to draw biological insights about dcis progression to infiltrating carcinoma, as the myoepithelial layer degrades and tumor cells invade the surrounding stroma. xenium also allowed us to further predict the hormone receptor status of tumor subtypes, including a small 0.1 mm2 dcis region that was triple positive for esr1 (estrogen receptor), pgr (progesterone receptor), and erbb2 (human epidermal growth factor receptor 2, a.k.a. her2) rna. in order to derive whole transcriptome information from these cells, we used xenium data to interpolate the cell composition of visium spots, and used visium whole transcriptome information to discover new biomarkers of breast tumor subtypes. we demonstrate that scffpe-seq, visium, and xenium independently provide information about molecular signatures relevant to understanding cancer heterogeneity. however, it is the integration of these technologies that leads to even deeper insights, ushering in discoveries that will progress oncology research and the development of diagnostics and therapeutics."
https://doi.org/10.1101/2022.03.25.485763,2023-12-21,mark loss can strongly bias demographic rates in multi-state models: a case study with simulated and empirical datasets,"['Touzalin, F.; Petit, E. J.; Cam, E.; Stragier, C.; Teeling, E. C.; Puechmaille, S. J.']","o_lithe development of methods for individual identification in wild species and the refinement of capture-mark-recapture (cmr) models over the past few decades have greatly improved the assessment of population demographic rates to address ecological and conservation questions. in particular, multi-state models, which offer flexibility in analysing complex study systems, have gained popularity within the ecological community. in this study, we focus on the issue of mark loss and the associated recycling of remarked individuals, which requires further exploration given the increasing use of these models. c_lio_lito fill this knowledge gap, we employed a wide range of simulation scenarios that reflect commonly encountered real case studies, drawing inspiration from the survival rates of 700 vertebrate species. using a multi-state, arnason-schwartz (as) modelling framework, we estimated the effects of mark loss and recycled individuals on parameter estimates. we assessed parameter bias by simulating a metapopulation system with varying capture and survival rates. additionally, we demonstrated how mark loss can be easily estimated and accounted for using a 10-year empirical cmr dataset of bats. the bats were individually identified using passive integrated transponder (pit) tag technology as potentially lost marks and multi-locus genotypes as permanent marks. c_lio_liour simulation results revealed that the occurrence of bias and the affected parameters were highly dependent on the study system, making it difficult to establish general rules to predict bias a priori. the model structure and the interdependency among parameters pose challenges in predicting the impact of bias on estimates. c_lio_liour findings underscore the importance of assessing the effect of mark loss when using as models. ignoring such violations of model assumptions can have significant implications for ecological inferences and conservation policies. in general, the use of permanent marks, such as genotypes, should always be preferred when modelling population dynamics. if that is not feasible, an alternative is to combine two independent types of temporary marks, such as pit tags and bands. c_lio_lianalysis of our empirical dataset on myotis myotis bats revealed that tag loss is higher in juveniles than in adults during the first year after tagging. the use of surgical glue to close the injection hole reduces tag loss rate from 28% to 19% in juveniles, while it has no effect on the tag loss rate in adults ([~]10%). the main bias observed in our metapopulation system appears in the survival rate, with up to a 20% underestimation if tag loss is not accounted for. c_li"
https://doi.org/10.1101/2023.10.03.560595,2023-12-15,a method for estimating the cholesterol affinity of integral membrane proteins from experimental data,"['Steck, T. L.; Tabei, A.; Lange, Y.']","the cholesterol affinities of many integral plasma membrane proteins have been estimated by molecular computation. however, these values lack experimental confirmation. we therefore developed a simple mathematical model to extract sterol affinity constants and stoichiometries from published isotherms for the dependence of the activity of such proteins on membrane cholesterol concentration. the binding curves for these proteins are sigmoidal with strongly-lagged thresholds attributable to competition for the cholesterol by bilayer phospholipids. the model provided isotherms that matched the experimental data using published values for the sterol association constants and stoichiometries of the phospholipids. three oligomeric transporters were found to bind cholesterol without cooperativity with dimensionless association constants of 35 for kir3.4* and 100 for both kir2 and a gat transporter. (the corresponding {rho}g{degrees} values were -8.8, -11.4 and -11.4 kj/mol, respectively.) these association constants are significantly lower than those for the phospholipids which range from [~]100 to 6,000. the bk channel, the nicotinic acetylcholine receptor and the m192i mutant of kir3.4* appear to bind multiple cholesterol molecules cooperatively (n = 2 or 4) with subunit affinities of 563, 950 and 700, respectively. the model predicts that the three less avid transporters are approximately half-saturated in their native plasma membranes; hence, sensitive to variations in cholesterol in vivo. the more avid proteins would be nearly saturated in vivo. the method can be applied to any integral protein or other ligand in any bilayer for which there are reasonable estimates of the sterol affinities and stoichiometries of the phospholipids."
https://doi.org/10.1101/2023.05.01.538994,2023-12-21,automatic cell type harmonization and integration across human cell atlas datasets,"['Xu, C.; Prete, M.; Webb, S.; Jardine, L.; Stewart, B.; Hoo, R.; He, P.; Teichmann, S.']","harmonizing cell types across the single-cell community and assembling them into a common framework is central to building a standardized human cell atlas. here we present cellhint, a predictive clustering tree-based tool to resolve cell type differences in annotation resolution and technical biases across datasets. cellhint accurately quantifies cell-cell transcriptomic similarities and places cell types into a relationship graph that hierarchically defines shared and unique cell subtypes. application to multiple immune datasets recapitulates expert-curated annotations. cellhint also reveals underexplored relationships between healthy and diseased lung cell states in eight diseases. furthermore, we present a workflow for fast cross-dataset integration guided by harmonized cell types and cell hierarchy, which uncovers underappreciated cell types in adult human hippocampus. finally, we apply cellhint to 12 tissues from 38 datasets, providing a deeply curated cross-tissue database with [~]3.7 million cells and various machine learning models for automatic cell annotation across human tissues."
https://doi.org/10.1101/2023.01.09.523288,2023-12-20,hogvax: exploiting peptide overlaps to maximize population coverage in vaccine design with application to sars-cov-2,"['Schulte, S. C.; Dilthey, A. T.; Klau, G. W.']","peptide vaccines present a safe and cost-efficient alternative to traditional vaccines. their efficacy depends on the peptides included in the vaccine and the ability of major histocompatibility complex (mhc) molecules to bind and present these peptides. due to the high diversity of mhc alleles, their diverging peptide binding specificities, and physical constraints on the maximum length of peptide vaccine constructs, choosing a set of peptides that effectively achieve immunization across a large proportion of the population is challenging.  here, we present hogvax, a combinatorial optimization approach to select peptides that maximize population coverage. the key idea behind hogvax is to exploit overlaps between peptide sequences to include a large number of peptides in limited space and thereby also cover rare mhc alleles. we formalize the vaccine design task as a theoretical problem, which we call the maximum scoring k-superstring problem (msks). we show that msks is np-hard, reformulate it into a graph problem using the hierarchical overlap graph (hog), and present a haplotype-aware variant of msks to take linkage disequilibrium between mhc loci into account. we give an integer linear programming formulation for the graph problem and provide an open source implementation.  we demonstrate on a sars-cov-2 case study that hogvax-designed vaccine formulations contain significantly more peptides than vaccine sequences built from concatenated peptides. we predict over 98% population coverage and high numbers of per-individual presented peptides, leading to robust immunity against new pathogens or viral variants."
https://doi.org/10.1101/2023.10.06.561217,2023-12-19,a green alternative to fragrant agarwood sesquiterpenoid production,"['Gutierrez, S.; Overmans, S.; Wellman, G. B.; Samaras, V. G.; Oviedo, C.; Gede, M. M.; Szekely, G.; Lauersen, K. J.']","certain endangered thymelaeaceous trees are major sources of the fragrant and highly valued resinous agarwood, comprised of hundreds of oxygenated sesquiterpenoids (stps). despite growing pressure on natural agarwood sources, the chemical complexity of stps severely limits synthetic production. here, we catalogued the chemical diversity in 58 agarwood samples by two-dimensional gas chromatography-mass spectrometry and partially recreated complex stp mixtures through synthetic biology. we improved stp yields in the unicellular alga chlamydomonas reinhardtii by combinatorial engineering to biosynthesise nine macrocyclic stp backbones found in agarwood. a bioprocess following green-chemistry principles was developed that exploits  milking of stps without cell lysis, solvent-solvent stp extraction, solvent-stp nanofiltration, and bulk stp oxy-functionalisation to obtain terpene mixtures like those of agarwood. this process occurs with total solvent recycling and enables continuous production. our synthetic-biology approach offers a sustainable alternative to harvesting agarwood trees to obtain mixtures of complex, fragrant, oxygenated stps."
https://doi.org/10.1101/2022.09.19.508413,2023-12-19,elisl: early-late integrated synthetic lethality prediction in cancer,"['Tepeli, Y.; Seale, C.; Goncalves, J. P.']","anti-cancer therapies based on synthetic lethality (sl) exploit tumor vulnerabilities for treatment with reduced side effects. since simultaneous loss-of-function of sl genes causes cell death, tumors with known gene disruptions can be treated by targeting sl partners. computational selection of promising sl candidates amongst all gene combinations is key to expedite experimental screening. however, current sl prediction models: (i) only use tissue type-specific molecular data, which can be scarce/noisy, limiting performance for some cancers; and (ii) often rely on shared sl patterns across genes, showing sensitivity to prevalent gene selection bias. we propose elisl, early-late integrated models for sl prediction using forest ensembles. elisl models ignore shared sl patterns, and integrate context-specific data from cancer cell lines or tumor tissue with context-free functional associations derived from protein sequence. elisl outperformed existing methods and was more robust to selection bias in 8 cancer types, with prominent contribution from sequence. we found better survival for patients whose tumors carried simultaneous mutations in a brca gene together with an elisl-predicted sl gene from the hh, fgf, or wnt families. elisl thus arises as a promising strategy to discover sl interactions with therapeutic potential."
https://doi.org/10.1101/2023.06.30.547297,2023-12-15,robustness of biomolecular networks suggests functional modules far from the edge of chaos,"['Park, K. H.; Costa, F. X.; Rocha, L. M.; Albert, R.; Rozum, J. C.']","a common feature of complex systems is their ability to balance the flexibility needed to adapt to their environment with the rigidity required for robust function. it has been conjectured that living systems accomplish this by existing at the ""edge of chaos"", i.e., the critical boundary between ordered and disordered dynamics. simple toy models of gene regulatory networks lend support to this idea, and mathematical tools developed for these toy models yield similar results when applied to experimentally-supported models of specific cellular regulatory mechanisms (functional modules). here, however, we demonstrate that a deeper inspection of 72 experimentally-supported discrete dynamical models of functional modules reveals previously unobserved order in these systems on long time scales, suggesting greater rigidity in these systems than was previously conjectured. our analysis relies on new measures that quantify the tendency of perturbations to spread through a discrete dynamical system. a benefit of our new approach is that it accounts for how system trajectories are mapped to phenotypes in practice. because these measures are computationally expensive to estimate, existing tools were insufficient for the ensemble of models considered here. to simulate the tens of millions of trajectories required for convergence, we developed a multipurpose cuda-based simulation tool, which we have made available as the open-source python library cubewalkers. we find that in experimentally-supported models of biomolecular functional modules, perturbation propagation is more transitory than previously thought, and that even in cases where large perturbation cascades persist, their phenotypic effects are often minimal. moreover, by examining the impact of update scheme on experimentally-supported models, we find evidence that stochasticity and desynchronization can lead to increased recovery from regulatory perturbation cascades in functional modules and uncover previously unreported population-level robustness to even timing perturbations in these systems. we identify specific biological mechanisms underlying these dynamical behaviors and highlight them in experimentally-supported regulatory networks from the systems biology literature. based on novel measures and simulations, our results suggest that-contrary to current theory-functional modules of biological systems are ordered and far from the edge of chaos."
https://doi.org/10.1101/2023.08.12.553073,2023-12-20,toxinome - the bacterial protein toxin database,"['Danov, A.; Segev, O.; Bograd, A.; Ben Eliyahu, Y.; Dotan, N.; Kaplan, T.; Levy, A.']","protein toxins are key molecular weapons in biology that are used to attack neighboring cells. bacteria use protein toxins to kill or inhibit growth of prokaryotic and eukaryotic cells using various modes of action that target essential cellular components. the toxins are responsible for shaping microbiomes in different habitats, for abortive phage infection, and for severe infectious diseases of animals and plants. although several toxin databases have been developed, each one is devoted to a specific toxin family and they encompass a relatively small number of toxins. antimicrobial toxins are often accompanied by antitoxins (or immunity proteins) that neutralize the cognate toxins. here, we combined toxins and antitoxins from many resources and created toxinome, a comprehensive and updated bacterial protein toxin database. toxinome includes a total of 1,483,028 toxins and 491,345 antitoxins encoded in 59,475 bacterial genomes across the tree of life. we identified a depletion of toxin and antitoxin genes in bacteria that dwell in extreme temperatures. we defined 5,161 unique toxin islands within phylogenetically diverse bacterial genomes, which are loci dense in toxin and antitoxin genes. by focusing on the unannotated genes within these islands, we characterized a number of these genes as toxins or antitoxins. finally, we developed an interactive toxinome website (http://toxinome.pythonanywhere.com) that allows searching and downloading of our database. the toxinome resource will be useful to the large research community interested in bacterial toxins and can guide toxin discovery and function elucidation, and infectious disease diagnosis and treatment.  importancemicrobes use protein toxins as important tools to attack neighboring cells, microbial or eukaryotic, and for self-killing when attacked by viruses. these toxins work by different mechanisms to inhibit cell growth or kill cells. microbes also use antitoxin proteins to neutralize the toxin activities. here, we developed a comprehensive database called toxinome of nearly two million toxin and antitoxins that are encoded in 59,475 bacterial genomes. we described the distribution of bacterial toxins and identified that they are depleted from bacteria that live in hot and cold temperatures. we find 5,161 cases in which toxins and antitoxins are densely clustered in bacterial genomes and termed these areas ""toxin islands"". the toxinome database is a useful resource for anyone interested in toxin biology and evolution, and it can guide discovery of new toxins."
